67ac64537c49d3b235ba7c2ca279b368e6fb3c941d2b7a9e98bca1cb99ec2a55,13de3452bb0a58cfe653572dd252272c2e049474a96b0259a9ef9a75be1d297c,93919cdf3df957e17b32b2c363afeb993d4d9cf41c7c5ac6164e8c59325ef896,688b6c9838e6f4f496d68ab218f6b2d97482e10e06be07b6ce6b03a0036ca77d,0781ab92066c7f51bcc3ed96f52ec047b47bad925abceba6d6ce9abfdfa0f8b7,cf2cb91523facf906f434f23f7115fc17881d65e2ced7fdaa08dfd92d8dcbafd,3309221534c1e3482a643e9ec07cb4b36668591b5bd1a5d35ba0333828aac21b,a866547f017228826eeee1d7eea7cb76f532dc973ac37f9b8f8738670f0fdf09,54a8fd864360459d4b7d712a1199e92278d521cc182da8ffbfcd456a28ac6641,ccb38fdac1ba5eb8a1ce1a3344bdbc82a67ce016a1910b7909322e670fa50fe4,7a8fe8cd0c89d7789dff0397a61b3a88d4717357598da3adfdbe45c24b36e9d0,11e2a47abb0bc346d645d1719c68a167e7597015b28b548173a4b02898d38cb4,ac5b080c34ed303c1db5e4825ab78648b0fe52c5d5773869db510580c6f62f12,362147d8713459e3f8c82bb184a024802ef25d4456ed98c0f897821e5806d96c,f6e7f5b275da29ad4fbef43c41b82ed71053b240b111360b3d268dc869e87e38,7d23d28f6faf6d0d1a2e44268871a6d485bb0e2634e06a116e686b3c31ab4851,33080f92ca870c4fb94db044241b8d83b21ec1fa3e4f85aacb4dd0d5de432402,b0d46cab724be873b0d608f833c6a6c3e2cfe69732d91cbf213bd0f5d2f5e045,ac7f692e233eba8589f84ae8d843001b2fb0ede17eedb428bc9d5d6915981077,3db2c5f52cf1fdff53a45d972741903ea1e3320c6d9a1c7ca7371bcddb134ac7,b24ff7bbe7dbd0b3cf5f64d01d335fc045bd8bde138fb9de6a35a9cf8e4f3711,56fd2edf3dbd9dea00975ca2ac3f5cb832ddcab241be5ace1fe053639a99b7b8,a4dfc1842dfb083073dedabb2d69511dc01572aab2ecb19ff169c66083e9adda,d6ad48cc7a43355a94f0a694dd182d5cb0584e5cd5ed99282f593d8e15f9ff8e,7fbe3145d603eaf2db458791b3824a0b756bb0ebaf7a3346f4f2dadb81e5eccf,a043c00f14b1fbdef41b4c2e40068502387cb406ceda8167747fae2d5221c36e,acb9b56d2d9e309fcb432e83044ec15ad6ee244066c8ef69719a3d03ec28edbe,46d07737392ca29302530d39c2e7c50628629b0feee570d16863430851cc71a6,f82d31f2ea398644830e60060a84085fa12eec3897dd283a90167789e9311243,40e9d65223e3d2e4cfeec3bfc1b272976631e1e1dd97c5bc427afd305a499266,f8c358815026d402a22b107021718fddd2d348fab3670ca3c6f6168d259c5e1f,d2c3fe3a5ad27b688af3cbdd837aa4e6c6b549f19daf7466ef2814e4705807b7,a7790862ca38cc506e2765943c58fc061b419f9f3cada20891bbb96fab27e042,95cef07881ccf58f78d86c1c18fdce0ee52318fcd5f08dfe8946a899acdd341f,6606b91beef4f7432b4b5ed8011f1e0974e3ab57624dbf2bdd36569dbf51f825,888da6b4f5e69f82154e7c99959891868112aea17f1969c5cf360fc44a2cb24a,e4eceb0df2fdfecdc87978976e63fa1cbaa674a6445a626f03b5eebf3f37026a,6c4aa6462b92cd490a17e131604dd352e6a0341262b7d97a25f658c95d92760d,f07c8a76e001302dec5a828ce9c5c7e2a360257e3adc746451e3dc0898fcad6f,9e68bd099407aff323afd4ebec4ce8b9822f6c0a8860f6e87f902b03ada0e6a7
"32013","bgm_M06","0","0","0","700","0","25001","0","1.2","90002","0","5","0","103531","0","40005","140001","1","0","1","103531","90008","3200701","90","0","0","0","bgm_M06","0","-50","0","0","0","0","0","320130501","50","94002","0"
"32013","bgm_M06","0","0","0","900","0","25001","0","1.2","90002","0","5","0","103531","0","40005","140001","2","0","1","103531","90008","3200701","90","0","0","0","bgm_M06","0","-50","0","0","0","0","0","320130502","50","94002","0"
"32013","bgm_M06","0","0","0","900","0","25001","0","1.2","90002","0","5","0","103531","0","40005","140001","3","0","1","103531","90008","3200701","90","0","0","0","bgm_M06","0","-50","0","0","0","0","0","320130503","50","94002","0"
"32013","bgm_M06","0","0","0","1400","0","25001","0","1.2","90002","0","5","0","103531","0","40005","140001","4","0","1","103531","90008","3200701","90","0","0","0","bgm_M06","0","-50","0","0","0","0","0","320130504","50","94002","0"
"32013","bgm_M06","0","0","0","1400","0","25001","0","1.2","90002","0","5","0","103531","0","40005","140001","5","0","1","103531","90008","3200702","90","90005","0","0","bgm_M06","0","-50","0","0","0","0","0","320130505","50","94002","0"
"32013","bgm_M126","0","0","0","300","0","140001","0","1","90009","0.8","5","0","103531","502013511","40004","94002","6","0","5","103531","90002","3200703","90","25001","0","0","bgm_M126","1","-50","1","1","320130106","0.8","0.8","320130506","100","90008","0.8"
"32013","bgm_M126","0","0","0","300","0","140001","0","1","90010","0.8","5","0","103531","502013521","40004","94002","7","0","5","103531","90002","3200703","90","25001","0","0","bgm_M126","0.8","-50","1","1","320130107","0.8","0.8","320130507","100","90008","0.8"
"32013","bgm_M64","0","0","0","300","0","140001","0","1","90011","0","5","0","103531","502013531","40004","94002","8","0","3","103531","90002","3200703","90","25001","0","0","bgm_M64","0","-50","1","1","320130108","1.5","0","320130508","100","90008","0"
"32013","bgm_M64","0","0","0","300","0","140001","0","1","90009","0","5","0","103531","502013541","40006","94002","9","0","3","103531","90002","3200703","90","25001","0","0","bgm_M64","0","-50","1","1","320130109","1","0","320130509","100","90008","0"
"32013","bgm_M63","0","0","0","300","0","25001","0","1","90002","0","5","0","103541","502013551","40007","140001","10","0","3","103541","90008","3200704","90","0","0","0","bgm_M63","0","-50","1","1","320130110","1.2","0","320130510","100","94002","0"
